carrier,country,2013-01-01,2013-01-08,2013-01-15,2013-01-22,2013-01-29,2013-02-05,2013-02-12,2013-02-19,2013-02-26,2013-03-05,2013-03-12,2013-03-19,2013-03-26,2013-04-02,2013-04-09,2013-04-16,2013-04-23,2013-04-30,2013-05-07,2013-05-14,2013-05-21,2013-05-28,2013-06-04,2013-06-11,2013-06-18,2013-06-25,2013-07-02,2013-07-09,2013-07-16,2013-07-23,2013-07-30,2013-08-06,2013-08-13,2013-08-20,2013-08-27,2013-09-03,2013-09-10,2013-09-17,2013-09-24,2013-10-01,2013-10-08,2013-10-15,2013-10-22,2013-10-29,2013-11-05,2013-11-12,2013-11-19,2013-11-26,2013-12-03,2013-12-10,2013-12-17,2013-12-24,2013-12-31
biomass,CH,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862,0.0860862
biomass,DE,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,5.7688649210000005,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,0.0,5.341164354095935,5.324838205,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,5.693833693547933,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001,8.004647826000001
biomass,DK,0.0,0.115,0.115,0.115,0.0,0.115,0.115,0.115,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115
biomass,FR,0.77033545,0.77033545,0.77033545,0.77033545,0.0,0.77033545,0.77033545,0.77033545,0.77033545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545,0.77033545
biomass,GB,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,0.0,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,5.473242180150478,6.725599999999999,6.725599999999999,6.725599999999999,0.0,0.27542235701431783,0.038700000000000005,0.0,6.2689161009048995,0.0,6.4235497730691,6.725599999999999,0.0,3.283840729044351,0.0,0.7155498256198127,6.725599999999999,6.725599999999999,6.725599999999999,0.0,6.697654953059545,0.0,6.725599999999999,5.334040072989067,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999,6.725599999999999
biomass,LU,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895,0.0073895
coal,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050706532611,0.0,0.0,0.0,0.0,0.0,0.0
coal,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3048912007089912,0.0,0.0,0.0,0.0,0.0,0.0
lignite,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11782544022240836,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,BE,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,0.0,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,0.0,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001,4.711524000000001
nuclear,CH,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,0.0,2.5839000000000003,0.0,2.5839000000000003,2.5839000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5839000000000003,2.1205147287091695,1.3034188867635965,0.0,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003,2.5839000000000003
nuclear,FR,40.9741,40.9741,40.9741,40.9741,28.34090969653755,40.9741,40.9741,40.9741,40.9741,31.650706162583873,40.9741,6.94120129264961,40.9741,38.078062561329894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.922355569847794,0.0,15.660206188558641,15.68003085401276,17.196233956175078,29.731494990802553,9.440221700415412,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741,40.9741
nuclear,GB,6.650528,6.650528,6.650528,6.650528,0.10316860691973125,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,0.0,6.650528,6.650528,0.0,6.650528,0.7826895943687195,6.650528,6.650528,5.855051929474628,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,1.9817266311314998,6.650528,3.782626343510092,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528,6.650528
nuclear,SE,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,6.4171761575081465,7.333067,7.333067,6.563862172686906,4.555355601152106,3.94053632959562,2.954445439900821,7.333067,3.0310307387884206,3.082761796147703,3.224423223896227,4.63542147502981,4.335538909922521,3.4322918494782773,7.333067,2.641558392906629,3.9011006329477507,2.7826027988168773,7.333067,6.8102603122614,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067,7.333067
offwind-ac,BE,0.32036914471238626,0.25809349393325726,0.2632907687485512,0.317828467390582,0.4956245818252,0.4019305979178991,0.15670099567596601,0.4358029801745179,0.19639179221576472,0.2814234220540356,0.36664405810973066,0.3464129053411334,0.27622145138330456,0.39324509685053827,0.3206323104233417,0.36064530802287753,0.23018579250912147,0.25592439473830436,0.4250110039690526,0.24141316010524935,0.32960410863197886,0.2998953201063746,0.39842005414839704,0.3581308436219321,0.3038225479603934,0.20522038138545937,0.2440715428928401,0.18267553044317664,0.21269597296064308,0.1592205021425392,0.2779005101649948,0.18969349795343043,0.256373602755729,0.10995911953586822,0.2167689064773233,0.1074455491962894,0.37532612438020607,0.23480464903789453,0.24137732324655495,0.2800043420299545,0.07521569669039052,0.09697519694697435,0.1141422743770018,0.1138918732101419,0.09227290150417562,0.055957954379492636,0.10243987242837568,0.05099990772929419,0.09614510819608005,0.08781852551891142,0.11856622573557592,0.10604861462992494,0.12951239510372203
offwind-ac,DE,1.906489422088912,1.3745275874016285,1.3894621751748968,1.5445210327532732,2.1109657295428725,1.1896450429178929,0.5793072792981151,2.1224600490731964,1.2599661062527239,2.1850713991315933,1.2801862112961548,1.9589122596972484,1.352443980513724,1.3643953122699115,1.5711065114625644,1.4002746225094633,1.4065269696313671,0.7763975191918545,1.0617273359569754,1.255314116286088,1.260655301874934,1.8994686165888675,0.5239094303512293,1.2835649859051623,1.0705605734033627,1.6997634824098686,0.4759322117610377,1.3276626011187787,0.8841909755419408,0.5012008671023794,1.0593802667017342,1.258829526232965,1.3036885418837452,1.1860939071885677,1.250593297679006,1.2693593474948333,0.9084152062293073,1.2213337323253755,0.919130763270844,1.4786972782173657,0.3813312588044189,0.35074551089009803,0.607391965257653,0.577087553448161,0.43261590556013685,0.38437357602057876,0.32986410777195463,0.4666705979129561,0.530726455009443,0.41868765874335706,0.5597658976678395,0.5191331815985528,0.6259430880973659
offwind-ac,DK,0.6792414921355608,0.5266598403245445,0.53455975557434,0.6313993015582334,0.7529283384531591,0.5089689370629528,0.3636167961644844,0.6669945407979426,0.47466129973677834,0.7553641729200355,0.5449069041929931,0.801353426775123,0.3960515996711798,0.35973629023825554,0.6011630314125853,0.616257402855079,0.6163116827779404,0.404935659254353,0.5349365458513959,0.5029390999385773,0.5091294744979561,0.6454099114931423,0.2670373602390809,0.5809168265669244,0.4723998245370978,0.6725124323893281,0.33212554865754385,0.563898788772803,0.3986140148121758,0.20676822737155753,0.46514448951957177,0.5747952975072366,0.6168857777066272,0.3783819040502475,0.5414822527268736,0.5374792396876383,0.41092728704819714,0.4493494083965943,0.33182622685793833,0.7073145395532922,0.15786564658364688,0.11760021181559206,0.21887035872576885,0.19578975750380165,0.1543321047647892,0.17438765381997964,0.11997638432209294,0.17698215307379905,0.18273935741550923,0.18928745540529396,0.21134354198716404,0.2007938348845997,0.2297938148341851
offwind-ac,GB,3.3275042730088913,1.8341288013978971,2.6847579714418366,3.1208117116586123,4.145863494277962,3.2841909820253927,2.225297960845434,2.8077907560233344,1.5891165074449944,2.9480054527330797,2.6281439586721014,3.4313479746904285,2.898361113406262,2.7346923243343917,2.9741249481364815,3.2124706397583354,2.6780276300015533,1.9870790245273706,3.7829912919054034,2.3122350653794754,2.9394480074121603,1.9582522063451735,1.657966583798115,3.0673661938004146,2.2634159443394806,2.094024217474947,1.8181755966171556,0.8630002746048986,1.2333216068513482,1.6028858078996475,2.9229392941683128,1.923117001901543,2.502952220299641,1.3614851133266106,2.294244571386881,1.5743100955784988,2.9286723758099216,2.2543932101529944,2.362822599985609,3.2160224337135497,0.8516670440468161,0.8051919186125852,0.9915701868123609,0.9041176332356449,0.8049171131002025,0.6727797535212622,0.8262150419794982,0.5258874128556258,0.9024287056275706,0.963967245131345,1.0075861087861928,0.9315666547188434,1.0922616305156518
offwind-ac,PL,2.9854498960005627,2.809738396830574,2.060130122738337,2.1206580588937762,3.1521641674475207,1.7104863940487915,0.860365586106034,3.2722119802647023,2.7004837139407147,3.510555626011072,1.5495475401049719,2.4267439120172885,2.329414125857776,2.294217101434404,2.269581278613206,2.5810799011934367,2.3100012764284252,1.1326687918782918,1.18287053767977,2.6218349304387694,1.8706249388033465,3.0027874291679195,1.0095193579461545,1.793246607517903,0.9783310320358803,2.187294286828943,0.8034164077299,2.4078249347529357,2.2818359496303784,0.9455715895185415,1.4707196599522865,1.7657770233238155,2.264845758180041,1.5139027373591518,1.8559909072539085,1.7388415947635738,1.1660178136214137,1.9806764485000867,1.643554499395927,2.104850857854317,0.5506897431099628,0.4045681605090781,0.9483221740471149,0.9411190859781882,0.6701475517176414,0.7504115059084004,0.5030352584008195,0.7777214819615974,0.9296456690281695,0.7444918087458288,0.865800254757124,0.8452881839956438,0.9943938862923161
offwind-ac,SE,0.12237918804228554,0.10926416942117625,0.10756137583947828,0.11789110637884807,0.12630044142089172,0.09463228910265552,0.054425758283121226,0.1231625043942865,0.10865027310573021,0.13923002897488393,0.10945611149976263,0.13871072895145992,0.0629090007092092,0.06118696766218465,0.1283178988149942,0.13502723887382242,0.13926457708525472,0.12211648060978762,0.1002277756596623,0.1426813202658441,0.08513350775516243,0.11115038240191828,0.044581134815738624,0.12018509595648368,0.08972658815148893,0.09057364356673263,0.08983065161086283,0.10752462844470066,0.09705443480414826,0.03433056795559853,0.08505068358143436,0.09671176154391019,0.1255660461458988,0.05757134135345125,0.10042678623102516,0.09704228109947995,0.0667373828452149,0.08069369000525821,0.0405395630214848,0.13487096939711882,0.02991114312444765,0.02084698823574237,0.05189236982237685,0.04406468135679447,0.028631550612907775,0.043051081528840775,0.02457614162616002,0.03619082805250998,0.042815621768982404,0.0409915101302967,0.0493829918926708,0.04597182012257835,0.050803821478752884
offwind-dc,DE,0.16206383112319073,0.1829460856472841,0.16718308514088373,0.16189359598127706,0.18645570457613633,0.10051306898197189,0.06612949978320627,0.20412283076342708,0.14728383619430432,0.18891904601755527,0.09554620874516648,0.21899875330276225,0.14818572998391122,0.13265557183859153,0.15954591106563995,0.14679529354258455,0.1516922952667688,0.09420386887969773,0.09875937199557407,0.1507823051260789,0.11451488597925905,0.19375546910466168,0.04579000585879832,0.12988690785159307,0.08028117945977645,0.14747184984687475,0.08063529359220242,0.14633768536036823,0.1403632608300959,0.04680369518515755,0.11681965535435322,0.13581937881745937,0.13246366034943227,0.1152179517953858,0.1230552128731188,0.13498281548747054,0.08000473454800909,0.10491960459007854,0.08210016236526133,0.16274115551526974,0.03786736049058999,0.02983839970727124,0.05306444539969926,0.05005623180481039,0.040171491248730075,0.04547990026919957,0.03544342273247965,0.04291578241936738,0.043366615552970514,0.04457342285895155,0.04931638796417191,0.04469850534237455,0.054703791046896835
offwind-dc,DK,0.4350286370786366,0.31659815874247144,0.3425364435536444,0.3831172276531325,0.01521103354197385,0.35120351489002194,0.2528924741957264,0.3815314899774108,0.34369949380799325,0.45846751976625194,0.3780544677751618,0.49534500925351005,0.26397535808902756,0.2298654003448944,0.3648026811117141,0.4077902573321098,0.390077009241159,0.3176757165455973,0.4042005891228475,0.3388816749961469,0.3844693372999163,0.43463888762332115,0.2183435351664541,0.3875289766504533,0.3219679878980834,0.41591215648155905,0.264009191699782,0.36286746546019644,0.24191792095268896,0.20048879247730772,0.3202420206081683,0.3528444405643162,0.4163366820038737,0.2314714366926193,0.3422760349037135,0.28176347367957605,0.2933321354861095,0.27965551217335455,0.24328573210687826,0.47907705643898507,0.1130602981754686,0.07989276711323084,0.13129497801937956,0.1211604806374777,0.09865191534017756,0.11284595920563434,0.09426512116057505,0.11594196708829896,0.1084302310307827,0.12725040227945,0.1304095496273649,0.12652588002897447,0.14069449225172423
offwind-dc,GB,3.267359099917783,1.865424160940005,2.6740332254883357,3.0031706184555818,3.8537619437573145,3.0272657163493895,2.1278829325411284,2.7324675580532745,1.6000914053006239,2.9445042761178266,2.608594642860436,3.2121268814548127,2.761966037006888,2.4897336039319176,2.7182442382073506,3.0971168882922853,2.5884483397710083,2.0575860430249486,3.5192754819593173,2.3188724511523775,2.936742896488131,2.1055838578586035,1.5971885798622585,2.9158478402133565,2.2474993450291376,2.1340185251981394,1.8511417404947685,0.9417615709438363,1.2297613985219842,1.6953111662403866,2.9211412888601913,1.9015805961780816,2.4812168142588025,1.4625754375368825,2.2876542187566913,1.6457575516909808,2.8674565040922446,2.242059292283277,2.266046748845899,3.0992322993216157,0.8225870011098771,0.7724082885333179,0.9168958676579058,0.8557520789111995,0.7795900138383165,0.6665559572870228,0.7880453374681265,0.5372165224739454,0.8541239005744041,0.9010630453639468,0.9239629873889248,0.8523064836524956,1.00838381801865
offwind-dc,PL,2.3013752315198723,2.502742871274511,2.1186394497409164,1.9669717344748257,2.4502547712011498,1.3793768375854853,0.7320480096427874,2.741919240347746,2.2116933250913955,2.7664545559971545,1.1955261315280596,2.510465422262467,2.173793290362551,2.023906147905856,2.0843172822024827,2.3313344827034177,2.017234433538217,1.119694985742097,1.1909941301855764,2.351826528026824,1.7378512540583186,2.7887164766466577,0.7317701416037685,1.6990858086730551,0.988053836900593,2.0676207122120673,0.8952818418854679,2.072676424831443,1.9776841305774056,0.7936566179329557,1.501742208641751,1.724716701339842,1.9482270896877236,1.457835617231128,1.611465883209025,1.597062398477606,1.1661041332283788,1.4593045220121035,1.5473170451932017,2.0171822729338453,0.5459744256196855,0.3301253418683369,0.7521620328024229,0.7184217387059969,0.5472980408777699,0.6340714097829871,0.4428041968842281,0.6104981711943134,0.6426892019818816,0.6534595207038032,0.6818482698485611,0.6410997322538363,0.7858086293507537
offwind-dc,SE,0.01582971890117975,0.016390076592045624,0.014769733310444002,0.01444999717218925,0.015284685092197499,0.0097800136523635,0.006092706252910375,0.017226472834549124,0.015338209263959748,0.018889547496558374,0.0075604654927086245,0.0190774727143,0.014884029715909377,0.012855770456261248,0.014680018810165625,0.017905042651573874,0.015454449998451626,0.011035432807072624,0.010193456809256,0.016746438563826124,0.014604025325390376,0.018915094921764127,0.007421834715181251,0.01486037474731775,0.008240126550392626,0.01353765396302025,0.007859381240311126,0.013420645689892874,0.0139477754811045,0.0066214527087423754,0.011238045066668874,0.012352474748686625,0.013611123322628127,0.00920598442252475,0.011235017643855249,0.008869429529392249,0.008466838492380625,0.009896823752171125,0.013272139045976124,0.014883315583605,0.0039434753633345,0.00255413200482475,0.005231629270660626,0.00482237316220625,0.0036499537651508746,0.004547087066608625,0.003118359861966125,0.0041624168311285,0.004504922075765126,0.0047061497507955,0.0049461049600935,0.004553054592750125,0.0055126942415308754
onwind,BE,3.630076790131712,2.2246241483876936,3.2499956675528043,4.956887135977024,10.916025816808514,6.310608278431556,2.039367955094706,4.719156488525262,2.012290141464727,3.833448416859724,6.058080254559485,6.152188655304439,2.48712015716801,3.9474808961302164,5.650802228863228,4.433522634879443,2.3744141682355377,1.956633203737386,5.640700043363386,2.3573397134667506,3.3981768149109226,3.911481893493284,2.687617070786127,4.656530229986827,5.139580216149054,2.054129083526235,2.059763774648764,1.6198174140252903,1.9692373520768915,1.3731140244109683,3.575826369636812,1.657660236922228,2.4259131922339288,1.189379855889972,1.5513533380389066,1.270332392438864,5.056414677437718,2.926220342716398,2.610977830385622,3.6198914389890655,1.0738149957787884,1.5953300374457806,2.423079778730198,2.2656648232252623,1.7758827369104728,0.5963261152649677,1.1203176109098305,0.5395244156250772,1.4864673629821177,1.5291515616428226,2.5654259654063565,2.058898230803515,2.749054209515308
onwind,CH,0.001386804147158383,0.0,0.0014401251182174157,0.001740223026729201,0.012329402611504664,0.004260321652387287,0.0008879086089157635,0.0030237189377964498,0.0006697059255807138,0.0010080799530718888,0.0017149696418351974,0.001812291286760118,0.0006232415238276948,0.0012125465328054505,0.005828011096298441,0.002367721367909807,0.000522789290648506,0.0008856755087521327,0.0011049700153228765,0.0017514086182371807,0.0021241987605113755,0.0029728934046785362,0.000858130983399326,0.0,0.001655028090582052,0.0008471456168714805,0.002577776907303344,0.0016116103325831055,0.0,0.0005846242653221348,0.0,0.0,0.0007424665284577471,0.0008461685339462999,0.0,0.0007182942904163166,0.0030774858150977246,0.004473873256380997,0.0,0.0010252737195854378,0.00040493329141414456,0.00063087069593723,0.0010788945225590665,0.0016294979605420447,0.002238336133699045,0.0004885185221435514,0.0007338292315398086,0.0010785914904834098,0.00046479105395407004,0.00019943775618430775,0.0009557420280842301,0.0008878425106991686,0.00024090361176527298
